ID	name	type
4506	Lakonia	Subdivision
9513	Bagasara	City
4507	Messinia	Subdivision
4960	Zambales	Subdivision
4535	Rodopi	Subdivision
7434	São Raimundo Nonato	City
8347	Amirkabir new city	City
9420	Gandhinagar	City
6129	Dehloran	City
6138	Choghadak	City
6741	Farashband	City
6692	Fin	City
9053	Hezhou	City
4508	Zakynthos	Subdivision
6743	Kabudrahang	City
9510	Kandla	City
6735	Kiasar	City
5521	Qazvin	City
9421	Vadodara	City
6782	Royan	City
9762	Sagae	City
33372	Les Aix-d'Angillon	City
33373	La Jonchère-Saint-Maurice	City
38301	Ménigoute	City
33374	Saint-Jean-de-Savigny	City
33380	Négreville	City
33381	La Chapelle-Saint-Aubert	City
38344	Lagord	City
33382	Grosville	City
33386	Rouxeville	City
42713	Saint-Vincent-de-Reins	City
33397	Le Mesnil	City
38358	Artigues	City
33431	Castillonnès	City
33467	Lachapelle	City
38368	Montgiscard	City
33468	Valtimo	Municipality
33469	Beaucamps-Ligny	City
33470	Cassignas	City
40980	Cieurac	City
33472	Hénaménil	City
42719	Soucieu-en-Jarrest	City
33474	Laulne	City
33486	Bricqueville-la-Blouette	City
47198	Moutiers-en-Puisaye	City
45064	Vignoles	City
33499	Chambezon	City
33588	Saint-André-Farivillers	City
45095	Le Lindois	City
45113	Lusigny-sur-Ouche	City
47286	Mécrin	City
52310	La Motte-Saint-Martin	City
48852	Guerstling	City
51031	Albitreccia	City
33452	Polvijärvi	Municipality
51064	Montcombroux-les-Mines	City
52376	Clansayes	City
51066	Sainte-Lucie-de-Tallano	City
51105	Berzème	City
56143	Fontaine-le-Bourg	City
51107	Montlignon	City
53855	Beaujeu	City
53929	Beuvillers	City
54222	Petit-Palais-et-Cornemps	City
57654	Wettolsheim	City
54244	Paradou	City
54267	Bogève	City
54334	Le Ham	City
62372	Le Poët-Sigillat	City
56045	Sailly	City
59230	Goux	City
60902	Moncoutant	City
62441	La Brévière	City
60917	Le Boulay	City
62387	Peintre	City
62401	Duneau	City
11750	Chonan	City
63908	Chavannes-les-Grands	City
11917	Chuo-ku	District
65652	L'Hôpital-du-Grosbois	City
65662	Paroy	City
65670	Saint-Genis-Laval	City
66307	Coutiches	City
69327	Kerpen	City
70731	Katharinenheerd	Municipality
23937	Davenport	City
33387	La Couyère	City
33419	Le Mesnil-Garnier	City
33433	Houtteville	City
38302	Saint-Romain-de-Jalionas	City
40982	Layrisse	City
42715	Remy	City
42735	Saint-Georges-de-Baroille	City
47199	Pierrepont	City
42758	Frécourt	City
42771	Aux Marais	City
57655	Carennac	City
42775	Poule-les-Écharmeaux	City